,Suburb_id,Suburb,Postcode,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
655,655,Derwent Park,7009.0,Fast Food Restaurant,Seafood Restaurant,Sports Bar,Pizza Place,,,,,,
656,656,Devon Meadows,3977.0,Electronics Store,,,,,,,,,
657,657,Devon Park,5008.0,Park,Thai Restaurant,Outdoors & Recreation,Train Station,Italian Restaurant,,,,,
658,658,Dewhurst,3808.0,,,,,,,,,,
659,659,Dharruk,2770.0,Bar,Pharmacy,,,,,,,,
660,660,Diamond Creek,3089.0,Playground,Tree,Business Service,,,,,,,
661,661,Dianella,6059.0,Thai Restaurant,Park,Restaurant,Convenience Store,,,,,,
662,662,Dickson,2602.0,Café,Chinese Restaurant,Asian Restaurant,Liquor Store,Pizza Place,Bakery,Grocery Store,Thai Restaurant,Vegetarian / Vegan Restaurant,Korean Restaurant
663,663,Diggers Rest,3427.0,,,,,,,,,,
664,664,Dingley Village,3172.0,Convenience Store,Fast Food Restaurant,Pizza Place,Gym / Fitness Center,Golf Course,Sandwich Place,,,,
665,665,Dinmore,4303.0,BBQ Joint,Movie Theater,Tea Room,Train Station,,,,,,
666,666,Dixons Creek,3775.0,Winery,,,,,,,,,
667,667,Docklands,3008.0,Restaurant,Coffee Shop,Café,Steakhouse,Middle Eastern Restaurant,Asian Restaurant,Vietnamese Restaurant,Light Rail Station,Italian Restaurant,Shopping Mall
668,668,Dodges Ferry,7173.0,,,,,,,,,,
669,669,Dolans Bay,2229.0,Boat or Ferry,Sports Club,,,,,,,,
670,670,Dolls Point,2219.0,Café,Park,Indian Restaurant,Sports Bar,,,,,,
671,671,Don Valley,3139.0,,,,,,,,,,
672,672,Doncaster,3108.0,Café,Chinese Restaurant,Dessert Shop,Clothing Store,Supermarket,Sandwich Place,Movie Theater,American Restaurant,Department Store,Salad Place
673,673,Doncaster East,3109.0,Italian Restaurant,Café,Malay Restaurant,Japanese Restaurant,Hotel,Portuguese Restaurant,Pizza Place,Fast Food Restaurant,Supermarket,Thai Restaurant
674,674,Donnybrook,3064.0,Moving Target,,,,,,,,,
675,675,Donnybrook,4510.0,Other Great Outdoors,,,,,,,,,
676,676,Donvale,3111.0,,,,,,,,,,
677,677,Doolandella,4077.0,,,,,,,,,,
678,678,Doonside,2767.0,Bakery,BBQ Joint,Train Station,Grocery Store,Platform,,,,,
679,679,Doreen,3754.0,Hotel,,,,,,,,,
680,680,Double Bay,2028.0,Café,Japanese Restaurant,Supermarket,Sushi Restaurant,Bakery,Train Station,Bar,Health & Beauty Service,Beach,Thai Restaurant
681,681,Doubleview,6018.0,Furniture / Home Store,Park,Sports Club,Coffee Shop,Pizza Place,Food & Drink Shop,,,,
682,682,Dover Gardens,5048.0,Gaming Cafe,Asian Restaurant,Pizza Place,Winery,Pool,Thrift / Vintage Store,,,,
683,683,Dover Heights,2030.0,Park,Coffee Shop,Café,Playground,,,,,,
684,684,Doveton,3177.0,Fish & Chips Shop,Electronics Store,Grocery Store,Bakery,,,,,,
685,685,Downer,2602.0,Café,,,,,,,,,
686,686,Dowsing Point,7010.0,Fish & Chips Shop,,,,,,,,,
687,687,Draper,4520.0,,,,,,,,,,
688,688,Drewvale,4116.0,Park,,,,,,,,,
689,689,Driver,830.0,Construction & Landscaping,,,,,,,,,
690,690,Dromana,3936.0,Grocery Store,Café,Massage Studio,Shopping Mall,,,,,,
691,691,Drummoyne,2047.0,Café,Lebanese Restaurant,Bakery,Gym / Fitness Center,Market,Sandwich Place,Grocery Store,Video Store,Vietnamese Restaurant,Italian Restaurant
692,692,Dry Creek,5094.0,Train Station,Bus Station,Light Rail Station,Business Service,,,,,,
693,693,Dudley Park,5008.0,Electronics Store,Bus Stop,,,,,,,,
694,694,Duffy,2611.0,,,,,,,,,,
695,695,Duffys Forest,2084.0,Stadium,,,,,,,,,
696,696,Dulwich,5065.0,Café,Coffee Shop,Grocery Store,Bakery,,,,,,
697,697,Dulwich Hill,2203.0,Café,Sushi Restaurant,Athletics & Sports,Liquor Store,Hotel,Light Rail Station,Bakery,Bus Station,Mediterranean Restaurant,Pub
698,698,Duncraig,6023.0,Bus Station,,,,,,,,,
699,699,Dundas,2117.0,Train Station,Seafood Restaurant,Sports Bar,Pizza Place,Café,,,,,
700,700,Dundas Valley,2117.0,Burger Joint,Café,,,,,,,,
701,701,Dunlop,2615.0,Lake,Bus Stop,,,,,,,,
702,702,Dunwich,4183.0,Bakery,Boat or Ferry,Pier,Gourmet Shop,Pizza Place,,,,,
703,703,Durack,830.0,,,,,,,,,,
704,704,Durack,4077.0,Bus Station,Electronics Store,Indian Restaurant,,,,,,,
705,705,Dural,2158.0,Garden,Italian Restaurant,Gym / Fitness Center,Grocery Store,,,,,,
706,706,Dutton Park,4102.0,Café,Historic Site,Farmers Market,Fruit & Vegetable Store,BBQ Joint,German Restaurant,Train Station,Park,Bus Station,
707,707,Dynnyrne,7005.0,Bookstore,Rock Climbing Spot,,,,,,,,
708,708,Eagle Farm,4009.0,Rental Car Location,Go Kart Track,Café,Burger Joint,Recording Studio,,,,,
709,709,Eagle Vale,2558.0,Pool,,,,,,,,,
710,710,Eagleby,4207.0,Pizza Place,Grocery Store,,,,,,,,
711,711,Eaglemont,3084.0,Park,,,,,,,,,
712,712,Earlwood,2206.0,Café,Italian Restaurant,Pizza Place,Bus Stop,Fast Food Restaurant,,,,,
713,713,East Arm,822.0,Shopping Mall,,,,,,,,,
714,714,East Brisbane,4169.0,Park,River,Bus Station,Performing Arts Venue,,,,,,
715,715,East Cannington,6107.0,,,,,,,,,,
716,716,East Fremantle,6158.0,Pizza Place,Café,,,,,,,,
717,717,East Hills,2213.0,Pub,,,,,,,,,
718,718,East Ipswich,4305.0,Rental Car Location,Train Station,,,,,,,,
719,719,East Killara,2071.0,Theater,Yoga Studio,Shopping Mall,Park,,,,,,
720,720,East Kurrajong,2758.0,,,,,,,,,,
721,721,East Lindfield,2070.0,Candy Store,Playground,,,,,,,,
722,722,East Melbourne,3002.0,Cricket Ground,Café,Garden,Train Station,Light Rail Station,Museum,Hotel,Park,Pharmacy,Convenience Store
723,723,East Perth,6004.0,Café,Park,Italian Restaurant,Racetrack,Pizza Place,Liquor Store,Sandwich Place,Hotel,Thai Restaurant,Convenience Store
724,724,East Point,820.0,Café,Park,Australian Restaurant,History Museum,,,,,,
725,725,East Rockingham,6168.0,,,,,,,,,,
726,726,East Ryde,2113.0,Pizza Place,Playground,Shopping Mall,,,,,,,
727,727,East Victoria Park,6101.0,Café,Burger Joint,Ramen Restaurant,Asian Restaurant,Malay Restaurant,Bar,Bookstore,Vietnamese Restaurant,Mexican Restaurant,Chinese Restaurant
728,728,Eastern Creek,2766.0,Asian Restaurant,Café,,,,,,,,
729,729,Eastern Heights,4305.0,Gas Station,,,,,,,,,
730,730,Eastgardens,2036.0,Coffee Shop,Supermarket,Department Store,Juice Bar,Fast Food Restaurant,Electronics Store,Café,Sushi Restaurant,Gym,Pizza Place
731,731,Eastlakes,2018.0,Grocery Store,Farmers Market,Food & Drink Shop,Supermarket,Park,Shopping Mall,,,,
732,732,Eastwood,2122.0,Korean Restaurant,Chinese Restaurant,Japanese Restaurant,Vietnamese Restaurant,Bubble Tea Shop,Pub,Bakery,Grocery Store,Supermarket,Italian Restaurant
733,733,Eastwood,5063.0,Fast Food Restaurant,Bus Station,Fish Market,Clothing Store,Sandwich Place,Mongolian Restaurant,Chinese Restaurant,Bakery,,
734,734,Eaton,820.0,Volleyball Court,Hobby Shop,Resort,Restaurant,Convenience Store,,,,,
735,735,Eatons Hill,4037.0,Lighting Store,,,,,,,,,
736,736,Ebbw Vale,4304.0,Soccer Field,,,,,,,,,
737,737,Ebenezer,2756.0,,,,,,,,,,
738,738,Ebenezer,4340.0,,,,,,,,,,
739,739,Eden Hill,6054.0,Park,,,,,,,,,
740,740,Eden Hills,5050.0,Park,Soccer Field,Gym / Fitness Center,Bike Rental / Bike Share,,,,,,
741,741,Eden Park,3757.0,,,,,,,,,,
742,742,Edens Landing,4207.0,Seafood Restaurant,,,,,,,,,
743,743,Edensor Park,2176.0,Spa,,,,,,,,,
744,744,Edgecliff,2027.0,Supermarket,Australian Restaurant,Pub,Japanese Restaurant,Sandwich Place,Park,Café,Sushi Restaurant,Tennis Stadium,Gym
745,745,Edgewater,6027.0,Park,Other Repair Shop,,,,,,,,
746,746,Edinburgh,5111.0,Home Service,,,,,,,,,
747,747,Edithvale,3196.0,Bakery,Train Station,Pizza Place,Asian Restaurant,Thai Restaurant,,,,,
748,748,Edmondson Park,2174.0,Train Station,Platform,Farmers Market,,,,,,,
749,749,Edwardstown,5039.0,Fast Food Restaurant,Supermarket,Big Box Store,Train Station,Shopping Mall,Pharmacy,Electronics Store,Video Game Store,Arts & Crafts Store,
750,750,Eglinton,6034.0,,,,,,,,,,
751,751,Eight Mile Plains,4113.0,Chinese Restaurant,Fruit & Vegetable Store,Hotel,Coffee Shop,Electronics Store,Café,Office,Gas Station,,
752,752,Elanora Heights,2101.0,Playground,Café,Bus Station,Liquor Store,Bakery,,,,,
753,753,Elderslie,2570.0,Deli / Bodega,Farmers Market,,,,,,,,
754,754,Elimbah,4516.0,Home Service,,,,,,,,,
755,755,Elizabeth,5112.0,Fast Food Restaurant,Gift Shop,Pet Store,Big Box Store,Café,Electronics Store,Asian Restaurant,Coffee Shop,Theater,BBQ Joint
756,756,Elizabeth Bay,2011.0,Café,Italian Restaurant,Park,Australian Restaurant,Coffee Shop,Japanese Restaurant,Bar,Wine Bar,Chinese Restaurant,Thai Restaurant
757,757,Elizabeth Downs,5113.0,Supermarket,Video Store,,,,,,,,
758,758,Elizabeth East,5112.0,Bar,Fish & Chips Shop,Health & Beauty Service,,,,,,,
759,759,Elizabeth Grove,5112.0,Fish & Chips Shop,Performing Arts Venue,Soccer Field,Movie Theater,Bus Station,,,,,
760,760,Elizabeth Hills,2171.0,,,,,,,,,,
761,761,Elizabeth North,5113.0,Fast Food Restaurant,Gaming Cafe,Arcade,Bar,,,,,,
762,762,Elizabeth Park,5113.0,Grocery Store,Miscellaneous Shop,Burger Joint,Pizza Place,,,,,,
763,763,Elizabeth South,5112.0,Dance Studio,Grocery Store,Business Service,,,,,,,
764,764,Elizabeth Vale,5112.0,Grocery Store,Fish & Chips Shop,Thai Restaurant,,,,,,,
765,765,Ellen Grove,4078.0,,,,,,,,,,
766,766,Ellenbrook,6069.0,Spa,Gym / Fitness Center,Café,,,,,,,
767,767,Ellis Lane,2570.0,,,,,,,,,,
768,768,Elsternwick,3185.0,Café,Japanese Restaurant,Bakery,Asian Restaurant,Bar,Paper / Office Supplies Store,Pharmacy,Russian Restaurant,Performing Arts Venue,Bagel Shop
769,769,Eltham,3095.0,Pet Store,Cosmetics Shop,,,,,,,,
770,770,Eltham North,3095.0,Home Service,,,,,,,,,
771,771,Elvina Bay,2105.0,Beach,,,,,,,,,
772,772,Elwood,3184.0,Café,River,Bakery,,,,,,,
773,773,Embleton,6062.0,Restaurant,Music Venue,,,,,,,,
774,774,Emerald,3782.0,Train Station,Grocery Store,Bakery,Theater,,,,,,
775,775,Emerton,2770.0,Massage Studio,,,,,,,,,
776,776,Emu Heights,2750.0,Playground,,,,,,,,,
777,777,Emu Plains,2750.0,Supermarket,Bar,Field,Pizza Place,,,,,,
778,778,Endeavour Hills,3802.0,Fast Food Restaurant,Supermarket,Convenience Store,Chinese Restaurant,Coffee Shop,Café,Video Game Store,Liquor Store,Shopping Mall,Food Truck
779,779,Enfield,2136.0,Café,Pet Store,Park,Fish & Chips Shop,Pizza Place,Pool,Lebanese Restaurant,Liquor Store,,
780,780,Enfield,5085.0,Café,Home Service,Sporting Goods Shop,Coffee Shop,Gym / Fitness Center,,,,,
781,781,Engadine,2233.0,Café,Shopping Mall,Pharmacy,Coffee Shop,Sandwich Place,Grocery Store,Salad Place,Fast Food Restaurant,Bowling Alley,Discount Store
782,782,Englorie Park,2560.0,Department Store,Park,,,,,,,,
783,783,Enmore,2042.0,Pub,Café,Vietnamese Restaurant,Park,Coffee Shop,Pet Store,Cantonese Restaurant,Greek Restaurant,Grocery Store,Convenience Store
784,784,Enoggera,4051.0,Café,,,,,,,,,
785,785,Enoggera Reservoir,4520.0,Scenic Lookout,,,,,,,,,
786,786,Epping,2121.0,Thai Restaurant,Fried Chicken Joint,Indian Restaurant,Vietnamese Restaurant,Convenience Store,Gym,Park,Sandwich Place,Bakery,Train Station
787,787,Epping,3076.0,Italian Restaurant,Bookstore,Gym,Café,,,,,,
788,788,Erindale,5066.0,Grocery Store,Shopping Mall,Thai Restaurant,,,,,,,
789,789,Ermington,2115.0,Home Service,Bus Stop,,,,,,,,
790,790,Erskine Park,2759.0,,,,,,,,,,
791,791,Erskineville,2043.0,Café,Pub,Thai Restaurant,Park,Bakery,Gay Bar,Sake Bar,Bistro,Pizza Place,Theater
792,792,Eschol Park,2558.0,Clothing Store,Park,,,,,,,,
793,793,Essendon,3040.0,Gym / Fitness Center,Breakfast Spot,Sporting Goods Shop,Athletics & Sports,Light Rail Station,Sports Club,Fish & Chips Shop,Italian Restaurant,,
794,794,Essendon North,3041.0,Fast Food Restaurant,Japanese Restaurant,Italian Restaurant,Light Rail Station,,,,,,
795,795,Essendon West,3040.0,Park,Bus Station,,,,,,,,
796,796,Ethelton,5015.0,Train Station,Hockey Field,Restaurant,Fish & Chips Shop,,,,,,
797,797,Eumemmerring,3177.0,Fast Food Restaurant,Steakhouse,Fried Chicken Joint,Hotel,,,,,,
798,798,Evandale,5069.0,Italian Restaurant,Australian Restaurant,Sandwich Place,Asian Restaurant,,,,,,
799,799,Evanston,5116.0,,,,,,,,,,
800,800,Evanston Gardens,5116.0,,,,,,,,,,
801,801,Evanston Park,5116.0,,,,,,,,,,
802,802,Evanston South,5116.0,,,,,,,,,,
803,803,Evatt,2617.0,Grocery Store,Home Service,Bus Station,,,,,,,
804,804,Eveleigh,2015.0,Café,Park,Pub,Pizza Place,Convenience Store,Farmers Market,Bar,Performing Arts Venue,Market,Beer Bar
805,805,Everard Park,5035.0,Gym,Bakery,Furniture / Home Store,Video Store,Tram Station,,,,,
806,806,Everton Hills,4053.0,Grocery Store,Seafood Restaurant,Café,Thai Restaurant,Bakery,,,,,
807,807,Everton Park,4053.0,Bus Station,Sandwich Place,Asian Restaurant,,,,,,,
808,808,Exeter,5019.0,Café,Arts & Crafts Store,Hotel Bar,Thai Restaurant,Liquor Store,Pizza Place,Flower Shop,Asian Restaurant,Train Station,
809,809,Exford,3338.0,,,,,,,,,,
810,810,Eynesbury,3338.0,,,,,,,,,,
811,811,Eyre,5121.0,,,,,,,,,,
812,812,Fadden,2904.0,Lake,Veterinarian,Vietnamese Restaurant,,,,,,,
813,813,Fairfield,2165.0,Fast Food Restaurant,Asian Restaurant,Italian Restaurant,Platform,South American Restaurant,Thai Restaurant,Gym,Thrift / Vintage Store,Chinese Restaurant,Sandwich Place
814,814,Fairfield,3078.0,Café,Grocery Store,Greek Restaurant,Sushi Restaurant,Bar,Train Station,Pharmacy,Video Store,Chinese Restaurant,Lebanese Restaurant
815,815,Fairfield,4103.0,Café,Liquor Store,Coffee Shop,Park,Pizza Place,Pharmacy,Convenience Store,Train Station,Bakery,Sushi Restaurant
816,816,Fairfield East,2165.0,Bar,Sandwich Place,,,,,,,,
817,817,Fairfield Heights,2165.0,Convenience Store,,,,,,,,,
818,818,Fairfield West,2165.0,Supermarket,Pizza Place,Fast Food Restaurant,Park,Gym,Coffee Shop,Shopping Mall,,,
819,819,Fairlight,2094.0,Beach,Café,Park,Pie Shop,Liquor Store,Art Gallery,,,,
820,820,Fairview Park,5126.0,Deli / Bodega,Golf Course,Playground,,,,,,,
821,821,Fannie Bay,820.0,Australian Restaurant,Bakery,Gas Station,Seafood Restaurant,Beach,Café,Pizza Place,,,
822,822,Farrar,830.0,Fast Food Restaurant,Bus Station,Hotel,Gastropub,,,,,,
823,823,Farrer,2607.0,Grocery Store,Burger Joint,Café,Shopping Mall,,,,,,
824,824,Fawkner,3060.0,Snack Place,Park,,,,,,,,
825,825,Felixstow,5070.0,Italian Restaurant,Park,Bus Station,Sandwich Place,,,,,,
826,826,Fern Tree,7054.0,Trail,Pub,Waterfall,,,,,,,
827,827,Ferndale,6148.0,Park,Pub,Australian Restaurant,Chinese Restaurant,,,,,,
828,828,Ferntree Gully,3156.0,Fast Food Restaurant,Supermarket,Paper / Office Supplies Store,Thai Restaurant,Liquor Store,Pharmacy,Pet Store,Café,Kebab Restaurant,Gas Station
829,829,Ferny Creek,3786.0,,,,,,,,,,
830,830,Ferny Grove,4055.0,Supermarket,Gym,Seafood Restaurant,Shopping Mall,,,,,,
831,831,Ferny Hills,4055.0,Historic Site,Thai Restaurant,,,,,,,,
832,832,Ferryden Park,5010.0,Vietnamese Restaurant,Juice Bar,Park,,,,,,,
833,833,Fiddletown,2159.0,,,,,,,,,,
834,834,Fig Tree Pocket,4069.0,Exhibit,Zoo Exhibit,Bus Stop,Coffee Shop,Café,Zoo,,,,
835,835,Findon,5023.0,Supermarket,Dessert Shop,Library,,,,,,,
836,836,Fingal,3939.0,Farm,Brewery,,,,,,,,
837,837,Firle,5070.0,Pizza Place,Pharmacy,Italian Restaurant,Video Store,Coffee Shop,Sandwich Place,Chinese Restaurant,Fast Food Restaurant,Shopping Mall,Café
838,838,Fisher,2611.0,Fish & Chips Shop,Paper / Office Supplies Store,,,,,,,,
839,839,Fitzgibbon,4018.0,Golf Course,,,,,,,,,
840,840,Fitzroy,3065.0,Café,Bar,Cocktail Bar,Pub,Vegetarian / Vegan Restaurant,Coffee Shop,Bakery,Asian Restaurant,Gastropub,Bookstore
841,841,Fitzroy,5082.0,Playground,Park,Gym,Indian Restaurant,Sporting Goods Shop,Pool,,,,
842,842,Fitzroy North,3068.0,Café,Coffee Shop,Bakery,Pub,Italian Restaurant,Ice Cream Shop,Pizza Place,Park,Bar,Light Rail Station
843,843,Five Dock,2046.0,Deli / Bodega,Coffee Shop,Café,Sushi Restaurant,Grocery Store,Martial Arts Dojo,Convenience Store,Pizza Place,Seafood Restaurant,Fast Food Restaurant
844,844,Flagstaff Hill,5159.0,Fast Food Restaurant,Shopping Mall,Liquor Store,Grocery Store,Bakery,,,,,
845,845,Flemington,3031.0,Café,Bakery,Light Rail Station,Supermarket,Farmers Market,Coffee Shop,Gym,Grocery Store,,
846,846,Flinders,3929.0,Lake,,,,,,,,,
847,847,Flinders Park,5025.0,Racetrack,Electronics Store,Café,Gym,,,,,,
848,848,Flinders View,4305.0,,,,,,,,,,
849,849,Floreat,6014.0,Supermarket,Burger Joint,Shopping Mall,Bakery,Gym,Clothing Store,Sandwich Place,Coffee Shop,Asian Restaurant,Park
850,850,Florey,2615.0,Grocery Store,Pizza Place,Pharmacy,Fish & Chips Shop,Shopping Plaza,,,,,
851,851,Fly Creek,822.0,,,,,,,,,,
852,852,Flynn,2615.0,,,,,,,,,,
853,853,Footscray,3011.0,Bar,Pub,Fast Food Restaurant,Chinese Restaurant,African Restaurant,Restaurant,Malay Restaurant,Gym / Fitness Center,Portuguese Restaurant,
854,854,Forde,2914.0,Nature Preserve,Dog Run,,,,,,,,
855,855,Forest Glen,2157.0,,,,,,,,,,
856,856,Forest Hill,3131.0,Asian Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Hotel,Diner,Sports Club,Park,Liquor Store,Gym / Fitness Center,Market
857,857,Forest Lake,4078.0,Home Service,Park,Pizza Place,Bus Station,,,,,,
858,858,Forest Lodge,2037.0,Café,Pub,Tennis Court,Paper / Office Supplies Store,Pizza Place,Sushi Restaurant,Gym / Fitness Center,Harbor / Marina,Portuguese Restaurant,Thai Restaurant
859,859,Forestdale,4118.0,Park,,,,,,,,,
860,860,Forestville,2087.0,Park,Bakery,Pizza Place,Thai Restaurant,Liquor Store,Coffee Shop,Sports Bar,Supermarket,,
861,861,Forestville,5035.0,Fast Food Restaurant,Tram Station,Pool,Farmers Market,Skate Park,Hospital,Café,Bakery,Music Store,
862,862,Forrest,2603.0,Tennis Court,Athletics & Sports,Art Gallery,Italian Restaurant,Australian Restaurant,Hotel,,,,
863,863,Forrestdale,6112.0,Rest Area,Park,Sports Club,,,,,,,
864,864,Forrestfield,6058.0,Park,,,,,,,,,
865,865,Fortitude Valley,4006.0,Coffee Shop,Cocktail Bar,Japanese Restaurant,Bar,Thai Restaurant,Pub,Music Venue,Italian Restaurant,Dive Bar,Chinese Restaurant
866,866,Franklin,2913.0,Business Service,Park,,,,,,,,
867,867,Frankston,3199.0,Electronics Store,Food Court,Convenience Store,Department Store,Kids Store,Shop & Service,Sporting Goods Shop,Café,,
868,868,Frankston North,3200.0,Athletics & Sports,,,,,,,,,
869,869,Frankston South,3199.0,,,,,,,,,,
870,870,Fraser,2615.0,Home Service,Mountain,Bus Stop,,,,,,,
871,871,Freds Pass,822.0,,,,,,,,,,
872,872,Freemans Reach,2756.0,Breakfast Spot,,,,,,,,,
873,873,Frenchs Forest,2086.0,Café,Bus Station,Grocery Store,Bakery,Convenience Store,Sushi Restaurant,Shopping Mall,Fast Food Restaurant,Liquor Store,Supermarket
874,874,Freshwater,2096.0,Café,Surf Spot,Indian Restaurant,Gym Pool,Coffee Shop,Convenience Store,Farmers Market,Yoga Studio,,
875,875,Frewville,5063.0,Café,Bakery,Pharmacy,Liquor Store,Fast Food Restaurant,Seafood Restaurant,Shopping Mall,Grocery Store,Asian Restaurant,Hotel
876,876,Fulham,5024.0,Pizza Place,Other Repair Shop,,,,,,,,
877,877,Fulham Gardens,5024.0,Fast Food Restaurant,Gym,Big Box Store,Grocery Store,Supermarket,Department Store,,,,
878,878,Fullarton,5063.0,Bakery,Taco Place,Seafood Restaurant,Shopping Mall,Pharmacy,Liquor Store,Asian Restaurant,Chinese Restaurant,Fast Food Restaurant,Burger Joint
879,879,Fyshwick,2609.0,Fast Food Restaurant,Furniture / Home Store,Electronics Store,Café,,,,,,
880,880,Gagebrook,7030.0,Grocery Store,,,,,,,,,
881,881,Gailes,4300.0,,,,,,,,,,
882,882,Galston,2159.0,Café,Grocery Store,Fried Chicken Joint,Pub,Shopping Mall,,,,,
883,883,Gardenvale,3185.0,Café,Train Station,Convenience Store,Breakfast Spot,Sporting Goods Shop,Bus Stop,Grocery Store,Fish & Chips Shop,Fast Food Restaurant,Bakery
884,884,Garfield,3814.0,,,,,,,,,,
885,885,Garfield North,3814.0,,,,,,,,,,
886,886,Garran,2605.0,Grocery Store,Restaurant,Malay Restaurant,Bakery,,,,,,
887,887,Gawler,5118.0,Train Station,Hotel Bar,Café,Bar,Italian Restaurant,Supermarket,,,,
888,888,Gawler East,5118.0,Burger Joint,,,,,,,,,
889,889,Gawler South,5118.0,Park,,,,,,,,,
890,890,Gawler West,5118.0,,,,,,,,,,
891,891,Gaythorne,4051.0,Café,Fast Food Restaurant,Train Station,,,,,,,
892,892,Geebung,4034.0,Bakery,Train Station,Grocery Store,,,,,,,
893,893,Geilston Bay,7015.0,Fast Food Restaurant,Park,Tennis Court,Café,,,,,,
894,894,Gembrook,3783.0,,,,,,,,,,
895,895,Georges Hall,2198.0,Lake,,,,,,,,,
896,896,Gepps Cross,5094.0,Motel,Flea Market,Electronics Store,Movie Theater,,,,,,
897,897,Gidgegannup,6083.0,Grocery Store,,,,,,,,,
898,898,Gilberton,5081.0,Pub,Park,Athletics & Sports,,,,,,,
899,899,Gilderoy,3797.0,,,,,,,,,,
900,900,Gilead,2560.0,,,,,,,,,,
901,901,Gilles Plains,5086.0,Bakery,Furniture / Home Store,Smoke Shop,Paper / Office Supplies Store,,,,,,
902,902,Gillman,5013.0,Business Service,Rental Service,Burger Joint,Bus Stop,,,,,,
903,903,Gilmore,2905.0,Trail,,,,,,,,,
904,904,Giralang,2617.0,Convenience Store,,,,,,,,,
905,905,Girraween,836.0,,,,,,,,,,
906,906,Girraween,2145.0,Café,Dance Studio,Park,Fast Food Restaurant,Gym,Home Service,Playground,Women's Store,,
907,907,Girrawheen,6064.0,Grocery Store,Pharmacy,Home Service,Asian Restaurant,,,,,,
908,908,Gladesville,2111.0,Thai Restaurant,Café,Japanese Restaurant,Pizza Place,Fried Chicken Joint,Shopping Mall,Fast Food Restaurant,Seafood Restaurant,Sandwich Place,Liquor Store
909,909,Gladstone Park,3043.0,Seafood Restaurant,Track,Bus Station,Bus Stop,Playground,,,,,
910,910,Gladysdale,3797.0,,,,,,,,,,
911,911,Glandore,5037.0,Café,Tram Station,Burger Joint,Bakery,Shopping Mall,Pharmacy,Asian Restaurant,Hot Dog Joint,Park,Department Store
912,912,Glanville,5015.0,Train Station,Bar,Fish & Chips Shop,Park,Australian Restaurant,Hotel Bar,,,,
913,913,Glebe,2037.0,Café,Grocery Store,Pub,Thai Restaurant,Coffee Shop,Bar,Bakery,Pizza Place,Eastern European Restaurant,Italian Restaurant
914,914,Glebe,7000.0,Toy / Game Store,Paper / Office Supplies Store,Coffee Shop,Gym,Liquor Store,Tennis Stadium,Hotel,,,
915,915,Gledswood Hills,2557.0,,,,,,,,,,
916,916,Glen Alpine,2560.0,Fast Food Restaurant,Italian Restaurant,Burger Joint,,,,,,,
917,917,Glen Forrest,6071.0,Park,Café,,,,,,,,
918,918,Glen Huntly,3163.0,Café,Indian Restaurant,Sandwich Place,Malay Restaurant,Grocery Store,Asian Restaurant,Light Rail Station,Supermarket,Chinese Restaurant,
919,919,Glen Iris,3146.0,Train Station,Park,Sporting Goods Shop,Café,Light Rail Station,,,,,
920,920,Glen Osmond,5064.0,,,,,,,,,,
921,921,Glen Waverley,3150.0,Bakery,Fast Food Restaurant,Supermarket,Juice Bar,Pizza Place,Sushi Restaurant,Fried Chicken Joint,Food Court,Big Box Store,Café
922,922,Glenalta,5052.0,Train Station,Harbor / Marina,Hotel Bar,,,,,,,
923,923,Glendalough,6016.0,Bakery,Pharmacy,Pizza Place,Sandwich Place,Grocery Store,,,,,
924,924,Glendenning,2761.0,Performing Arts Venue,Dance Studio,Auto Garage,,,,,,,
925,925,Glenelg,5045.0,Café,Thai Restaurant,Australian Restaurant,Sushi Restaurant,Fish & Chips Shop,Gym / Fitness Center,BBQ Joint,Dessert Shop,Chinese Restaurant,Coffee Shop
926,926,Glenelg East,5045.0,Grocery Store,Chinese Restaurant,Pizza Place,Football Stadium,Pub,Sports Bar,,,,
927,927,Glenelg North,5045.0,Park,Fried Chicken Joint,Hotel,Greek Restaurant,Café,,,,,
928,928,Glenelg South,5045.0,Café,Grocery Store,Bar,Beach,Pizza Place,,,,,
929,929,Glenfield,2167.0,Platform,Train Station,Fried Chicken Joint,Bakery,,,,,,
930,930,Glengowrie,5044.0,Bus Stop,,,,,,,,,
931,931,Glenhaven,2156.0,Home Service,Health & Beauty Service,Soccer Field,,,,,,,
932,932,Glenlusk,7012.0,,,,,,,,,,
933,933,Glenmore Park,2745.0,Department Store,Fast Food Restaurant,,,,,,,,
934,934,Glenorchy,7010.0,Fast Food Restaurant,Sushi Restaurant,Pizza Place,Café,Athletics & Sports,Big Box Store,Sandwich Place,Gym,Multiplex,Department Store
935,935,Glenorie,2157.0,Farmers Market,Fast Food Restaurant,Shopping Mall,Bar,Supermarket,Yoga Studio,,,,
936,936,Glenroy,3046.0,Train Station,Ice Cream Shop,Supermarket,Food & Drink Shop,Café,Thrift / Vintage Store,Middle Eastern Restaurant,Fast Food Restaurant,Vietnamese Restaurant,Breakfast Spot
937,937,Glenside,5065.0,Gas Station,Automotive Shop,Burger Joint,Coffee Shop,Pizza Place,,,,,
